timestamp,package,core,uncore,dram,psys,cpu
5.762,6.762966,2.630413,0.148325,0.000000,13.775364,0
5.864,8.186200,3.765747,0.151177,0.000000,15.820068,0
5.967,7.918042,4.032055,0.117450,0.000000,14.683643,0
6.069,7.332410,3.398164,0.125681,0.000000,14.010801,0
6.172,5.625202,2.001383,0.119165,0.000000,12.028553,0
6.274,6.355234,2.250675,0.121723,0.000000,14.283316,0
6.376,5.691890,1.475477,0.141003,0.000000,12.444577,0
6.479,5.881515,2.048357,0.113632,0.000000,12.294901,0
6.581,6.354927,2.533266,0.128780,0.000000,13.506381,0
6.691,6.128977,2.503079,0.098630,0.000000,13.271556,0
6.806,6.484366,2.370042,0.105441,0.000000,14.150309,0
6.919,6.860495,2.745173,0.125692,0.000000,13.639724,0
7.033,7.361925,3.436421,0.145548,0.000000,14.355165,0
7.146,10.344297,2.816482,0.119301,0.000000,13.212369,0
7.262,6.468805,2.649801,0.117769,0.000000,13.837852,0
7.376,6.658052,2.090238,0.123799,0.000000,14.064743,0
7.492,5.390686,1.686109,0.118360,0.000000,11.549130,0
7.604,5.581037,1.913141,0.058782,0.000000,12.020946,0
7.718,6.571902,2.779512,0.130365,0.000000,13.000564,0
7.830,5.547546,1.878265,0.081829,0.000000,11.745386,0
7.943,6.991942,3.442670,0.115261,0.000000,15.484438,0
8.062,8.382330,4.160211,0.130007,0.000000,14.029362,0
8.174,6.041587,2.315536,0.125427,0.000000,12.678411,0
8.287,6.275089,2.568137,0.076137,0.000000,12.770490,0
8.401,6.294462,2.557193,0.087993,0.000000,12.611058,0
8.512,5.658305,2.014241,0.117779,0.000000,12.354266,0
8.627,6.403602,2.661078,0.088791,0.000000,12.841764,0
8.739,6.800579,3.066031,0.102891,0.000000,13.738346,0
8.854,6.525587,2.810728,0.079729,0.000000,12.914040,0
8.966,6.556768,2.864295,0.119868,0.000000,13.350547,0
9.080,7.022097,3.112567,0.139818,0.000000,13.602690,0
9.193,7.009602,3.092329,0.130396,0.000000,13.861328,0
9.307,6.740831,2.911889,0.143525,0.000000,13.274170,0
9.419,6.008246,2.428739,0.088229,0.000000,12.597289,0
9.535,6.068380,2.422827,0.102069,0.000000,12.147283,0
9.647,6.228667,2.510637,0.136152,0.000000,12.677355,0
9.759,6.829868,2.700257,0.120338,0.000000,15.274228,0
9.872,6.961576,2.563853,0.119953,0.000000,14.027975,0
9.985,6.275421,2.513734,0.138842,0.000000,12.558945,0
